type,title,rating,duration,listed_in,IMDb,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Movie,the woman of the town,NR,87 min,Western,6.1,claire trevor,albert dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the snows of kilimanjaro,13+,113 min,"Action, Drama",6.1,gregory peck,susan hayward,ava gardner,hildegard knef,leo g. carroll,torin thatcher,ava norring,helene stanley,marcel dalio,vicente g?mez,richard allan,olga borget,john roy,amanda ambrose,sugarfoot anderson,salvador baguez,charles bates,maurice brierre,arthur brunner,charles brunner,ernest brunner,leonard carey,benny carter,monique chantal,andr? charlot,edward colmans,george davis,james davis,amapola del vando,victor desny,john dodsworth,arthur dulac,wade dumas,elzie emanuel,lisa ferraday,paul fierro,bert freed,martin garralaga,janine grandel,agn?s laury,ivan lebedeff,pepi lenzi,jay loft_lyn,alphonse martell,george navarro,constance purdy,tito renaldo,julian rivero,emmett smith,ann staunton,paul thompson,bertil unger,maya van horn,cecil weston,victor wood,,,,,,,,,,,,,,,,,,,,,
TV Show,the moonstone,TV_PG,1 Season,"Drama, Suspense",6.1,john thomson,sarah hadland,terenia edwards,joshua silver,sophie ward,stewart clarke,leo wringer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the green glove,G,89 min,Drama,6.1,glenn ford,geraldine brooks,cedric hardwicke,george macready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the courageous dr. christian,ALL,66 min,Drama,6.1,jean hersholt,dorothy lovett,robert baldwin,tom neal,maude eburne,very lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,"tad, the lost explorer and the secret of king midas",PG,85 min,"Animation, Kids",6.1,oscar barberan,michelle jenner,miguel angel jenner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,she's not our sister,13+,88 min,Drama,6.1,kellita smith,christian keyes,drew sidora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,shakuntala devi,13+,127 min,Drama,6.1,vidya balan,sanya malhotra,jisshu sengupta, amit sadh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,romola,NR,118 min,Drama,6.1,lillian gish,dorothy gish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,right at your door,R,91 min,"Drama, Suspense",6.1,mary mccormack,rory cochrane,tony perez,scotty noyd jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,rampage,R,85 min,"Action, Suspense",6.1,brendan fletcher,shaun sipos,michael parã©,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,psychic kids: children of the paranormal,TV_PG,3 Seasons,"Documentary, Drama, Unscripted",6.1,chip coffey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,press your luck,TV_G,1 Season,Unscripted,6.1,peter tomarken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,peculiar pets,13+,48 min,"Documentary, SpecialInterest",6.1,natalie casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,on the trail of bigfoot: the search,13+,85 min,Documentary,6.1,brian brown,darryl colyer,loren coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,nicole & jionni's shore flip,13+,1 Season,"Documentary, Drama, Unscripted",6.1,jionni lavalle,nicole polizzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,mystery of mr. wong,13+,72 min,"Drama, Suspense",6.1,boris karloff,grant withers,dorothy tree,morgan wallace,craig reynolds,lotus long,holmes herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,mumbai pune mumbai 3,13+,139 min,"Comedy, Drama, International",6.1,swapnil joshi,mukta barve,prashant damle,mangal kenkre,vijay kenkre,savita prabhune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,muklawa,13+,111 min,"Comedy, Drama, International",6.1,ammy virk,sonam bajwa,gurpreet ghuggi,bn sharma,karamjit anmol,sarbjit cheema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,michael mcdonald: model. citizen,18+,60 min,"Arts, Entertainment_Culture, Comedy, SpecialInterest",6.1,michael mcdonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,melinda hill: inappropriate,18+,61 min,"Arts, Entertainment_Culture, Comedy, SpecialInterest",6.1,melinda hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,man in the attic,PG_13,82 min,"Drama, Suspense",6.1,jack palance,constance ginth,byron palmar,frances bavier,rhys williams,sean mcclory,leslie bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,love aaj kal porshu,13+,103 min,Drama,6.1,arjun chakraborty,madhumita sarkar,paoli dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,lost child,16+,101 min,"Horror, Suspense",6.1,leven rambin,jim parrack,landon edwards,taylor john smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,legend of the superstition mountains,TV_PG,1 Season,TVShows,6.1,frank augustine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,lady behave!,13+,59 min,Comedy,6.1,sally eilers,neil hamilton,joseph schildkraut,grant mitchell,patricia farr,marcia mae jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,jasper redd: jazz talk,18+,62 min,"Arts, Entertainment_Culture, Comedy, SpecialInterest",6.1,jasper redd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,i am road comic,18+,68 min,"Arts, Entertainment_Culture, Comedy, SpecialInterest",6.1,maria bamford,marc maron,doug benson,alonzo bodden,jordan brady,wayne federman,judah friedlander,nikki glaser,pete holmes,kyle kinane,w. kamau bell,t.j. miller,jim norton,kristopher tinkle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,hope ranch,PG_13,90 min,"Kids, Western",6.1,bruce boxleitner,lorenzo lamas,barry corbin,gail o'grady,laura johnson,brian gross,j.d. pardo,richard lee jackson,isabelle 'isabell' howell,brad hawkins,nicholas 'nico' hill,stephen wozniak,tina illman,clint jung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,hooplakidz nursery rhyme time _ part 2,ALL,17 min,"Animation, Kids",6.1,annie,ben,mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,goyenda junior,ALL,118 min,"International, Suspense",6.1,rwitobroto mukherjee,shantilal mukherjee,anusha viswanathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,gown and out in beverly hills,18+,2 Seasons,"LGBTQ, SpecialInterest, Unscripted",6.1,pol' atteu,patrik simpson,snowwhite simpson_atteu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,getting to know you,18+,103 min,"Comedy, Drama, Romance",6.1,natasha little,rupert penry_jone,rachel blanchard,linda kash,duane murray,mark forward,ace hicks,christopher jacot,zach smadu,merran carr_wiggin,dean armstrong,shauna black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,g.i. blues,PG,104 min,"Arts, Entertainment_Culture, Comedy",6.1,elvis presley,juliet prowse,robert ivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,free meek,18+,1 Season,"Documentary, Drama, SpecialInterest",6.1,meek mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,flint,13+,1 Season,"Action, Drama",6.1,vladimir epifantsev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,fireman sam classic,TV_Y,5 Seasons,Kids,6.1,john sparkes,joanna ruiz,sarah hadland,john alderton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,fireman sam,TV_Y,8 Seasons,"Animation, Kids",6.1,andrew hodwitz,jonah ain,margaret brock,david carling,lily cassano,jacob james,scott lancastle,ashley magwood,dave pender,mike pongracz,becky shrimpton,sarah lynn strange,adam turgeon,carter treneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,f2 _ fun and frustration,13+,148 min,"Comedy, International",6.1,venkatesh,varun tej,tamannaah,mehreen pirzada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,escape,18+,78 min,Action,6.1,isabel christine andreasen,ingrid bolsã¸ berdal,milla olin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,dive olly dive,ALL,2 Seasons,"Animation, Kids",6.1,sean_ryan petersen,elle labadie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,diablo guardiã¡n,18+,2 Seasons,Drama,6.1,paulina gaitã¡n,andrã©s almeida,adriã¡n ladrã³n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,deadly companions,PG_13,100 min,"Drama, Western",6.1,maureen o'hara,brian keith,steve cochran,chill wills,strother martin,will wright,james o'hara,peter o'crotty,billy vaughan,hank gobble,big john hamilton,chuck hayward,riley hill,buck sharpe,robert sheldon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,darbar (tamil),13+,158 min,"Action, Drama, International",6.1,rajinikanth,nayanthara,sunil shetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,darbar (malayalam),13+,158 min,"Action, Drama, International",6.1,rajinikanth,nayanthara,sunil shetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,cuna de lobos,TV_NR,1 Season,TVShows,6.1,paz vega,gonzalo garcã­a vivanco,paulette hernandez,diego amozurrutia,jose pablo minor,osvaldo de leon,azela robinson,carlos aragon,nailea norvind,flavio medina,leonardo daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,crown lake,13+,1 Season,"Drama, YoungAdultAudience",6.1,francesca capaldi,kyla_drew,emily skinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,crazy hearts: nashville,TV_14,1 Season,"Documentary, Drama, Unscripted",6.1,heather byrd,anthony billups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,catherine the great,13+,1 Season,"Action, Drama",6.1,yuliya snigir,natalya surkova,pavel derevyanko,mark bogatyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,casey's shadow,13+,116 min,"Action, Drama",6.1,walter matthau,alexis smith,robert webber,murray hamilton,andrew rubin,steve burns,michael hershewe,whit bissell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,carolina low,16+,83 min,"Action, Drama, Western",6.1,sean bridgers,christopher berry,nick searcy,sonny shroyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,car crash tv,13+,2 Seasons,"Action, Documentary",6.1,chris barrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,busytown mysteries,ALL,1 Season,"Animation, Kids",6.1,kevin dennis,joanne vannicola,paul wensley,ellie ellwand,julie lemieux,richard binsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,buckskin frontier,13+,106 min,Western,6.1,richard dix,jane wyatt,lee j. cobb,victor jory,george reeves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,bryan callen: man class,18+,78 min,"Arts, Entertainment_Culture, Comedy, SpecialInterest",6.1,bryan callen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,bravetown,R,114 min,"Arts, Entertainment_Culture, Romance",6.1,josh duhamel,laura dern,lucas till,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,blackout,R,92 min,"Drama, Horror, Suspense",6.1,abraham benrubi,lymari nadal,nia kingsley,costas mandylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,billy the exterminator,TV_PG,6 Seasons,"Documentary, Drama, Unscripted",6.1,billy bretherton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,between two ferns,TV_14,1 Season,Comedy,6.1,zach galifianakis,jerry seinfeld,hillary clinton,president barack obama,justin bieber,brad pitt,steve carell,bradley cooper,ben stiller,jimmy kimmel,michael cera,jon hamm,natalie portman,charlize theron,conan o'brien,andy richter,sean penn,bruce willis,jennifer aniston,tila tequila,will ferrell,jennifer lawrence,james franco,naomi watts,anne hathaway,christoph waltz,amy adams,jessica chastain,sally field,cardi b,wayne knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,ayogya,13+,148 min,"Action, Drama, International",6.1,vishal,raashi khanna,parthiban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,agatha christie's the pale horse,16+,1 Season,TVShows,6.1,rufus sewell,sean pertwee,kaya scodelario,bertie carvel,sheila atim,christopher bianchi,madeleine bowyer,georgina campbell,kim chapman,kathy kiera clarke,james fleet,poppy gilbert,nicky goldie,henry lloyd_hughes,ellen robertson,claire skinner,rita tushingham,sarah woodward,martin buchan,ben nathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,a nun's curse,13+,73 min,"Horror, Suspense",6.1,felissa rose,damian maffei,kristi ray,erika edwards,gunner willis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,a haunting on brockway street,13+,133 min,Documentary,6.1,steven t. shippy,steve gonsalves,jamie m. breit,joshua kuchta,kelly macleod,td mcroy,tim rooney,adam hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,37_teen,18+,92 min,Comedy,6.1,fred ewanuick,tasya teles,michael coleman,josh blacker,amy goodmurphy,sean owen roberts,rhonda dent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,15_minute balance & burn 5.0 workout,ALL,21 min,Fitness,6.1,maggie binkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,15_minute arms & core 8.0 workout (with weights),ALL,21 min,Fitness,6.1,maggie binkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,_dupe_the making of the mob: chicago,TV_14,1 Season,"Documentary, SpecialInterest",6.1,ray liotta,jeremy davidson,william forsythe,vincent pastore,paul sorvino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the stolen princess,ALL,87 min,"Adventure, Animation, Kids",6.1,alyson leigh rosenfeld,dan edwards,abe goldfarb,andrew watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,smiley face killers,R,96 min,"Horror, Suspense",6.1,ronen rubinstein,mia serafino,crispin glover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,barefoot in the park,G,106 min,Comedy,6.1,robert redford,jane fonda,charles boyer,mildred natwick,herb edelman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,reach for me,7+,90 min,Drama,6.1,seymour cassell,adrienne barbeau,alfre woodard,johnny whitworth,lacey chabert,levar burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,mistaken,16+,88 min,"Drama, Suspense",6.1,lana parrilla,james thomas,bã©nã©dicte dã©cary,maã©va nadon,martin thibaudeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,meeting evil,R,89 min,"Action, Drama",6.1,luke wilson,samuel l. jackson,leslie bibb,peyton list,ryan lee,tracie thoms,muse watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,chonda pierce: laughing in the dark,ALL,84 min,Documentary,6.1,chonda pierce,david pierce,zachary pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,blood fest,18+,93 min,Horror,6.1,robbie kay,seychelle gabriel,jacob batalon,tate donovan,zachary levi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,until september,R,96 min,Drama,6.1,karen allen,thierry lhermitte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,"nancy drew, reporter",7+,68 min,"Adventure, Suspense",6.1,bonita granville,john litel,frankie thomas,mary lee,dickie jones,larry williams,betty amann,thomas e. jackson,olin howland,sheila bromley,irving bacon,john dilson,edgar edwards,jack gardner,william hopper,jack mower,joanne tree,walter young,hooper atchley,frankie burke,nat carr,glen cavender,loia cheaney,steve clark,jimmy conlin,clyde courtright,jimmie fox,paul fung,willie fung,chester gan,jack a. goodrich,sol gorss,william gould,eddie graham,kit guard,george guhl,florence halop,charles halton,al herman,harry hollingsworth,jack kenny,joan leslie,al lloyd,george lloyd,charles marsh,frank mayo,leonard mudie,george offerman jr.,frank orth,bob perry,jack perry,jessie perry,renie riano,jack richardson,john ridgely,betty roadman,cliff saum,charles smith,charles sullivan,elliott sullivan,lois verner,jack wagner,pat west,leo white,jack wise,,,,,,,,,,,
Movie,love stinks,R,94 min,Comedy,6.1,french stewart,bridgette wilson_sampras,bill bellamy,tyra banks,jason bateman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,girls just want to have fun,13+,87 min,Comedy,6.1,sarah jessica parker,helen hunt,shannen doherty,jonathan silverman,lee montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,fukrey returns,13+,136 min,"Comedy, International",6.1,pulkit samrat,manjot singh,ali fazal,varun sharma,priya anand,vishakha singh,pankaj tripathi,richa chadha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,against a crooked sky,13+,89 min,"Adventure, Western",6.1,richard boone,stewart petersen,henry wilcoxon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,chhalaang (4k uhd),13+,136 min,"Comedy, Drama",6.1,rajkummar rao,nushrratt bharuchaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,test,18+,90 min,"Arts, Entertainment_Culture, LGBTQ, Romance",6.1,scott marlowe,matthew risch,kristoffer cusick,rory hohenstein,damon sperber,james sofranko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,jeff dunham: unhinged in hollywood,18+,71 min,"Arts, Entertainment_Culture, Comedy, SpecialInterest",6.1,jeff dunham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,a box of faith,G,90 min,Drama,6.1,savanah mcmahon,julie van lith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,hello charlie,13+,102 min,Comedy,6.1,jackie shroff,aadar jain,shlokka pandit,elnaaz norouzi,rajpal yadav,darshan jariwalla,girish kulkarni,siddhanth kapoor,bharat ganeshpure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,aeon flux,PG_13,93 min,"Action, Sci_Fi",6.1,charlize theron,marton csokas,jonny lee miller,sophie okonedo,pete postlethwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,dosth mera dosth,16+,118 min,"Comedy, Drama",6.1,annapurnamma,gemini suresh,chaitanya garikapati,viva raghav,ram ravipalli,satish saripalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the surface,16+,86 min,"Drama, Suspense",6.1,sean astin,mimi rogers,chris mulkey,john emmet tracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the making of america's most dangerous city,18+,58 min,Documentary,6.1,saul febo,jefferey williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,confession,R,95 min,Suspense,6.1,chris pine,cameron daddo,peter greene,lukas behnken,adam bussell,kate vernon,tom bosley,bruce davison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,lol _ hasse toh phasse,13+,1 Season,"Comedy, Unscripted",6.1,arshad warsi, boman irani, gaurav gera, sunil grover, mallika dua, kusha kapila, aadar malik, aakash gupta, ankita shrivastav, cyrus broacha, aditi mittal, suresh menon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,soulmate,NR,104 min,"Drama, Horror",6.1,anna walton, tom wisdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,diary of a chambermaid,PG,97 min,International,6.1,jeanne moreau,georges geret,michel piccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the statement,R,119 min,"Drama, Suspense",6.1,michael caine,tilda swinton,ciarã¡n hinds,charlotte rampling,jeremy northam,colin salmon,matt craven,alan bates,john neville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
