type,title,rating,duration,listed_in,IMDb,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
TV Show,vinland saga,TV_NR,1 Season,Anime,8.8,shizuka ishigami,yuto uemura,kenichiro matsuda,naoya uchida,kensho ono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,uncle tom,18+,107 min,Documentary,8.8,candace owens,larry elder,chad jackson,brandon tatum,rev. jesse lee peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the cotton pickin truth still on the plantation,18+,94 min,Documentary,8.8,dick gregory,charles ogletree,mae louise miller,george wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,the carol burnett show,13+,1 Season,Comedy,8.8,carol burnett,tim conway,vicki lawrence,lucille ball,harvey korman,lyle waggoner,ernie anderson,steve lawrence,dick van dyke,eydie gorme,bernadette peters,mel torme,martha raye,cass elliot,roddy mcdowall,vincent price,jonathan winters,carl reiner,rock hudson,andy griffith,betty white,carol channing,soupy sales,ruth buzzi,joan rivers,tom smothers,sammy davis jr.,cher,don rickles,steve martin,burt reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,ryan bingham live,PG_13,110 min,MusicVideos_Concerts,8.8,ryan bingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,panchayat (4k uhd),13+,1 Season,TVShows,8.8,jitendra kumar,neena gupta,raghubir yadav,faisal malik,chandan roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,panchayat,13+,1 Season,TVShows,8.8,jitendra kumar,neena gupta,raghubir yadav,faisal malik,chandan roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,"mr. monkey, monkey mechanic",ALL,3 Seasons,"Animation, Kids",8.8,matt servo,nick tracy,brett jubinville,hayden finkelshtain,mike hogue,ingrid hansen,joe ciaravino,ashlie white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,jim henson's the storyteller,TV_PG,1 Season,"Drama, Fantasy, Kids",8.8,john hurt,brian henson,sean bean,miranda richardson,jonathan pryce,jennifer saunders,gabrielle anwar,jane horrocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,fundamentally cynical,TV_14,1 Season,"Animation, Comedy",8.8,preston hazard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,full body every day workouts,7+,1 Season,"Fitness, SpecialInterest",8.8,josephine rene,alice maples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,edwardian farm,13+,1 Season,"Documentary, SpecialInterest",8.8,stephen noonan,peter ginn,ruth goodman,alex langlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,ambulance australia,13+,2 Seasons,"Documentary, SpecialInterest",8.8,lisa wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,see you soon,R,107 min,Drama,8.8,harvey keitel,liam mcintyre,jenia tanaeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,where the red fern grows,7+,97 min,Kids,8.8,james whitmore,beverly garland,jack ging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,behind closed doors,16+,89 min,"Drama, Horror, Suspense",8.8,brandy specks,antrone harris,allana grundy,bre hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,asintombstonetest_target,G,0 min,Comedy,8.8,test actor 1,test actor 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
