type,title,rating,duration,listed_in,IMDb,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Movie,beirut oh beirut,TV-14,106 min,"ClassicMovies, Dramas, InternationalMovies",6.4,ezzat el alaily,mireille maalouf,joseph bou nassar,elie adabachi,philippe akiki,ahmed al zein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,taxi ballad,TV-MA,81 min,"Dramas, InternationalMovies",6.4,talal el-jordi,karina logue,badih abou chakra,tariq tamim,omar mikati,hiam abou chedid,mahmoud mabsout,aida sabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,a babysitter's guide to monster hunting,TV-PG,99 min,Children_FamilyMovies,6.4,tamara smart,oona laurence,tom felton,troy leigh-anne johnson,lynn masako cheng,ty consiglio,ian ho,indya moore,alessio scalzotto,tamsen mcdonough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,we have always lived in the castle,TV-14,95 min,"Dramas, Thrillers",6.4,taissa farmiga,alexandra daddario,crispin glover,sebastian stan,paula malcomson,peter coonan,ian toner,joanne crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,man with a plan,TV-PG,4 Seasons,TVComedies,6.4,matt leblanc,liza snyder,grace kaufman,matthew mccann,hala finley,matt cook,jessica chaffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,sneakerheads,TV-MA,1 Season,TVComedies,6.4,allen maldonado,andrew bachelor,jearnest corchado,matthew josten,yaani king mondschein,justin lee,aja evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the school nurse files,TV-MA,1 Season,"InternationalTvShows, TVDramas, TVMysteries",6.4,jung yu-mi,nam joo-hyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,signs,TV-MA,2 Seasons,"CrimeTVShows, InternationalTvShows, TVDramas",6.4,andrzej konopka,helena sujecka,piotr trojan,michaå‚ czernecki,mariusz ostrowski,robert gulaczyk,miroså‚aw kropielnicki,helena englert,paulina gaå‚ä…zka,magdalena å¹ak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,transformers: cyberverse,TV-Y7,2 Seasons,KidsTV,6.4,sophia isabella,jeremy levy,jacob tillman,ryan andes,deanna mcgovern,dick terhune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,ever after high,TV-Y7,5 Seasons,KidsTV,6.4,jonquil goode,karen strassman,audu paden,julie maddalena,marieve herington,rena strober,evan smith,wendee lee,haviland stillwell,valerie arem,cam clarke,colleen foy,cindy robinson,joe sanfelippo,jamieson price,debi derryberry,lindsey ames,rajo zakic,erin fitzgerald,malcolm danare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the rain,TV-MA,3 Seasons,"InternationalTvShows, TVDramas, TVMysteries",6.4,alba august,lucas lynggaard tã¸nnesen,mikkel boe fã¸lsgaard,lukas lã¸kken,jessica dinnage,sonny lindberg,angela bundalovic,lars simonsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,mystery lab,TV-PG,1 Season,"Docuseries, InternationalTvShows, Science _ Nature TV",6.4,felipe castanhari,lilian regina,bruno miranda,guilherme briggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,redemption,TV-MA,102 min,"Dramas, InternationalMovies, Thrillers",6.4,gil alexandre,arlete bombe,rashid abdul,laquino fonseca,tomas bie,candido quembo,jorge amade,aldovina chiziane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,your excellency,TV-G,120 min,"Comedies, InternationalMovies",6.4,akin lewis,funke akindele,kemi lala akindoju,shaffy bello,kunle coker,eku edewor,alexx ekubo,osas ighodaro ajibade,seyi law,falz,chigul,deyemi okanlawon,beverly osu,toni tones,christian paul,bimbo manuel,helen paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the long dumb road,R,91 min,"Comedies, IndependentMovies",6.4,tony revolori,jason mantzoukas,taissa farmiga,grace gummer,ciara bravo,casey wilson,pamela reed,ron livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the perfect picture: ten years later,TV-MA,148 min,"Comedies, Dramas, InternationalMovies",6.4,jackie appiah,naa ashorkor mensa-doku,lydia forson,adjetey anang,richard mofe-damijo,chris attoh,gideon okeke,joselyn dumas,john dumelo,beverly naya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the show must go on: the queen + adam lambert story,TV-MA,85 min,"Documentaries, Music_Musicals",6.4,adam lambert,brian may,roger taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,how to get away with murder,TV-14,6 Seasons,"CrimeTVShows, TVDramas, TVMysteries",6.4,viola davis,billy brown,alfred enoch,jack falahee,katie findlay,aja naomi king,matt mcgorry,karla souza,charlie weber,liza weil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the witch: part 1 - the subversion,TV-MA,126 min,"Action_Adventure, InternationalMovies, Sci_Fi_Fantasy",6.4,kim da-mi,cho min-soo,choi woo-shik,park hee-soon,choi jung-woo,ko min-si,oh mi-hee,kim byung-ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,choked: paisa bolta hai,TV-14,114 min,"Dramas, InternationalMovies",6.4,saiyami kher,roshan mathew,amruta subhash,upendra limaye,tushar dalvi,rajshri deshpande,vaisnavi rp,uday nene,parthveer shukla,sanjay bhatia,aditya kumar,milind pathak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the student cop,TV-14,111 min,"Action_Adventure, Comedies, InternationalMovies",6.4,karim abdel aziz,hassan hosny,ghada adel,maha ahmed,ramez galal,mohamed ragab,mohamed el dafrawy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,omar _ salma 2,TV-14,101 min,"Comedies, InternationalMovies",6.4,tamer hosny,mai ezz el-din,ezzat abou aouf,marwa abdel monem,hussien elgohary,mirhan,maysara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,r.k.nagar,TV-14,132 min,"Action_Adventure, Comedies, Dramas",6.4,vaibhav reddy,sana althaf,sampath raj,inigo prabhakaran,anjana keerthi,subbu panchu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the last kingdom,TV-MA,4 Seasons,"BritishTVShows, InternationalTvShows, TVAction_Adventure",6.4,alexander dreymon,emily cox,david dawson,ian hart,rune temte,matthew macfadyen,rutger hauer,tobias santelmann,peter gantzler,adrian bower,joseph millson,henning valin jakobsen,alexandre willaume,thomas w. gabrielsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the killing of a sacred deer,R,121 min,"Dramas, IndependentMovies, Thrillers",6.4,colin farrell,nicole kidman,barry keoghan,alicia silverstone,raffey cassidy,sunny suljic,bill camp,drew logan,barry g. bernson,denise dal vera,herb caillouet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,true: wuzzle wegg day,TV-Y,24 min,Children_FamilyMovies,6.4,michela luci,jamie watson,eric peterson,anna claire bartlam,nicolas aqui,cory doran,julie lemieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,uncorked,TV-MA,104 min,"Dramas, IndependentMovies",6.4,mamoudou athie,courtney b. vance,niecy nash,sasha compã¨re,bernard d. jones,gil ozeri,matt mcgorry,meera rohit kumbhani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,curtiz,TV-MA,99 min,"Dramas, InternationalMovies",6.4,ferenc lengyel,evelin dobos,declan hannigan,scott alexander young,jã³zsef gyabronka,nikolett barabas,yan feldman,rafael feldman,christopher krieg,andrew hefler,lili bordã¡n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,baby mamas,TV-14,98 min,"Comedies, Dramas, InternationalMovies",6.4,salamina mosese,kay smith,thembisa mdoda,dineo ranaka,sthembiso khoza,khaya mthembu,jonathan boynton-lee,nicholas nkuna,donovan pietersen,pamela nomvete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,taylor tomlinson: quarter-life crisis,TV-MA,61 min,StandUpComedy,6.4,taylor tomlinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,six windows in the desert,TV-14,1 Season,TVShows,6.4,moayad alnefaie,mohammed alhamdan,citi bet baydi,sadeem alshehri,mohammed albakri,moayed althagafi,hussain alyahya,abeer alotaibi,zara albalushi,ali alshehabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,fanatyk,TV-MA,33 min,"Comedies, Dramas, IndependentMovies",6.4,piotr cyrwus,mikoå‚aj kubacki,anna radwan,marian dziä™dziel,jan nowicki,juliusz chrzä…stowski,maå‚gorzata krzysica,jacek strama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,gang of the caribbean,TV-MA,86 min,"Dramas, InternationalMovies",6.4,djã©djã© apali,eriq ebouaney,adama niane,vincent vermignon,djibril pavadã©,zita hanrot,karim belkhadra,lise lomi,zoã© charron,jocelyne bã©roard,julien courbey,lucien jean-baptiste,romane bohringer,mathieu kassovitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,what the love! with karan johar,TV-14,1 Season,"InternationalTvShows, RealityTV, RomanticTVShows",6.4,karan johar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,motichoor chaknachoor,TV-14,132 min,"Comedies, Dramas, InternationalMovies",6.4,nawazuddin siddiqui,athiya shetty,sanjeev vats,vibha chhibber,vivek mishra,navni parihar,karuna pandey,abhishek rawat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,high end yaariyan,TV-14,120 min,"Comedies, InternationalMovies, RomanticMovies",6.4,ninja,ranjit bawa,jassi gill,musskan sethi,navneet kaur dhillon,neet mahal,aarushi sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,house arrest,TV-14,105 min,"Comedies, IndependentMovies, InternationalMovies",6.4,ali fazal,shriya pilgaonkar,jim sarbh,barkha singh,badrul islam,sunil kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,burning cane,TV-MA,78 min,Dramas,6.4,wendell pierce,karen kaia livers,dominique mcclellan,braelyn kelly,emyri crutchfield,cynthia capers,erika woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,my next guest with david letterman and shah rukh khan,TV-PG,61 min,InternationalMovies,6.4,shah rukh khan,david letterman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,"martin matte: la vie, la mort...eh la la..!",TV-14,62 min,StandUpComedy,6.4,martin matte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,el camino: a breaking bad movie,TV-MA,123 min,"Dramas, Thrillers",6.4,aaron paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,insatiable,TV-MA,2 Seasons,"TVComedies, TVDramas, TeenTVShows",6.4,dallas roberts,debby ryan,alyssa milano,christopher gorham,kimmy shields,michael provost,erinn westbrook,daniel kang,arden myrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,raising dion,TV-PG,1 Season,"KidsTV, TVAction_Adventure, TVDramas",6.4,alisha wainwright,ja'siah young,jason ritter,michael b. jordan,jazmyn simon,ali ahn,sammi haney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,reply 1997,TV-MA,1 Season,"InternationalTvShows, KoreanTVShows, RomanticTVShows",6.4,jung eun-ji,seo in-guk,shin so-yul,ji-won eun,lee ho-won,lee si-eon,sung dong-il,lee il-hwa,song jong-ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,record of grancrest war,TV-MA,1 Season,"AnimeSeries, InternationalTvShows",6.4,kentaro kumagai,akari kito,yuichi nakamura,reina ueda,satoshi hino,yoshitsugu matsuoka,natsumi takamori,ai kayano,takahiro sakurai,wataru hatano,yuichi iguchi,minori suzuki,megumi nakajima,yuhko kaida,chika anzai,yumi uchiyama,kaede hondo,satoshi mikami,ayane sakura,ari ozawa,tatsuhisa suzuki,hiro shimono,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the wolf's call,TV-14,116 min,"Dramas, InternationalMovies, Thrillers",6.4,franã§ois civil,omar sy,mathieu kassovitz,reda kateb,paula beer,alexis michalik,jean-yves berteloot,damien bonnard,pierre cevaã«r,sã©bastien libessart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,seã±ora acero,TV-MA,5 Seasons,"CrimeTVShows, InternationalTvShows, Spanish_LanguageTVShows",6.4,blanca soto,litzy,damiã¡n alcã¡zar,marco pã©rez,jorge zã¡rate,rossana san juan,andrã©s palacios,rebecca jones,lincoln palomeque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,shabd,TV-14,146 min,"Dramas, InternationalMovies, RomanticMovies",6.4,sanjay dutt,aishwarya rai bachchan,zayed khan,brijendra kala,sadiya siddiqui,kamini khanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,shortcut safari,TV-PG,101 min,"Action_Adventure, Comedies, Dramas",6.4,jimmy shergill,aashi rawal,stuti dwivedi,deah tandon,sharvil patel,hardil kanabar,mann patel,ugam khetani,manmeet singh,nazia davison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,persona,TV-MA,1 Season,"InternationalTvShows, KoreanTVShows, TVDramas",6.4,lee ji-eun (iu),bae doona,park hae soo,kim tae-hun,shim dal-gi,lee sung-wook,jung jun won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,mercy black,TV-14,88 min,HorrorMovies,6.4,daniella pineda,elle lamont,janeane garofalo,miles emmons,lee eddy,austin amelio,elke boucher-depew,dylan gage,troy anthony hogan,jamy lentz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,burn out,TV-MA,104 min,"Action_Adventure, InternationalMovies",6.4,olivier rabourdin,franã§ois civil,manon azem,samuel jouy,narcisse mame,naã«l rabia,sam louwyck,luc schwarz,mario magalhaes,marc-antoine duquenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the land of hypocrisy,TV-14,1 Season,"InternationalTvShows, TVComedies, TVSci_Fi_Fantasy",6.4,mohamed henedy,dalal abdel aziz,hana shiha,mohammed tharwat,salwa mohammed,mohammed hafiz,ibrahim issa,leila ezz al arab,mohammed mahmoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,lady j,TV-MA,111 min,"Dramas, IndependentMovies, InternationalMovies",6.4,cã©cile de france,edouard baer,alice isaaz,natalia dontcheva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the confrontation,TV-PG,1 Season,"InternationalTvShows, TVDramas",6.4,hussein almansour,shujoon,mohammed alalawi,noor alghandour,fahad basim,hamad ashkanani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,walk. ride. rodeo.,TV-PG,100 min,"Children_FamilyMovies, Dramas",6.4,spencer locke,missi pyle,sherri shepherd,bailey chase,alyvia alyn lind,max ehrich,corbin bleu,kathleen rose perkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,that thing called tadhana,TV-MA,91 min,"Dramas, InternationalMovies, RomanticMovies",6.4,angelica panganiban,jm de guzman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the love affair,TV-MA,127 min,"Dramas, InternationalMovies, RomanticMovies",6.4,richard gomez,dawn zulueta,bea alonzo,tom rodriguez,tetchie agbayani,al tantay,ana capri,ina feleo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,it takes a man and a woman,TV-PG,127 min,"Comedies, InternationalMovies, RomanticMovies",6.4,john lloyd cruz,sarah geronimo,rowell santiago,al tantay,irma adlawan,joross gamboa,gio alvarez,matet de leon,miles ocampo,andre garcia,dante rivero,isabelle daza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the breakup playlist,TV-MA,118 min,"Dramas, InternationalMovies, Music_Musicals",6.4,piolo pascual,sarah geronimo,rio locsin,dennis padilla,badjie mortiz,teddy corpuz,anna luna,jett pangan,cris villonco,maris racal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,genius,TV-14,96 min,"Dramas, IndependentMovies, InternationalMovies",6.4,roshan,priyaa lal,aadukalam naren,singam puli,meera krishnan,jayaprakash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,remastered: the two killings of sam cooke,TV-MA,74 min,"Documentaries, Music_Musicals",6.4,sam cooke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,lion pride,TV-MA,1 Season,"InternationalTvShows, RomanticTVShows, TVComedies",6.4,yen tsao,amanda chou,kevin liu,peace yang,kenny wen,tzu-chiang chao,vince kao,lin ching-tai,lin he xuan,michael yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,lilli,TV-MA,85 min,"Dramas, IndependentMovies, InternationalMovies",6.4,samyuktha menon,aaryan menon,dhanesh anand,kannan nayar,sajin cherukayil,kevin jose,athulya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,battle,TV-MA,98 min,"Dramas, InternationalMovies, RomanticMovies",6.4,lisa teige,fabian svegaard tapia,vebjã¸rn enger,charlott madeleine utzig,stig r. amdam,karen-lise mynster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,sdu: sex duties unit,TV-MA,96 min,"Comedies, InternationalMovies",6.4,chapman to,shawn yue,matt chow,kwok cheung tsang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,kopitiam,TV-14,7 Seasons,"InternationalTvShows, TVComedies",6.4,joanna bessey,douglas lim,lina teoh,rashid salleh,mano maniam,tan jin chor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,abcd 2,TV-14,146 min,"Dramas, InternationalMovies, Music_Musicals",6.4,prabhu deva,varun dhawan,shraddha kapoor,lauren gottlieb,sushant pujari,punit pathak,dharmesh yelande,raghav juyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,been so long,TV-MA,100 min,"Dramas, InternationalMovies, Music_Musicals",6.4,michaela coel,arinzã© kene,george mackay,ashley thomas,joe dempsie,ronke adekoluejo,luke norris,mya lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,ask the doctor,TV-PG,1 Season,"Docuseries, InternationalTvShows, Science _ Nature TV",6.4,shalin naik,renee lim,sandro demaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,edgar rice burroughs' tarzan and jane,TV-Y7,2 Seasons,"CrimeTVShows, KidsTV",6.4,marci t. house,michael dobson,omari newton,paul dobson,rebecca shoichet,giles panton,kathleen barr,doron bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,hot date,TV-MA,1 Season,"RomanticTVShows, TVComedies",6.4,emily axford,brian murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,khido khundi,TV-14,151 min,"Dramas, InternationalMovies, SportsMovies",6.4,ranjit bawa,mandy takhar,manav vij,elnaaz norouzi,mahavir bhullar,guggu gill,seema kaushal,sukhbir singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,needhi singh,TV-14,103 min,"Action_Adventure, Dramas, InternationalMovies",6.4,kulraj randhawa,nirmal rishi,ashish duggal,aman sutdhar,dally daljit,seema kaushal,shubh ghumman,karan tiwana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,paradise lost,TV-MA,111 min,"Dramas, IndependentMovies, InternationalMovies",6.4,jãºlio andrade,lee taylor,hermila guedes,julia konrad,erasmo carlos,marjorie estiano,seu jorge,jaloo,felipe abib,humberto carrã£o,malu galli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,ingobernable,TV-MA,2 Seasons,"CrimeTVShows, InternationalTvShows, Spanish_LanguageTVShows",6.4,kate del castillo,erã©ndira ibarra,alberto guerra,erik hayser,luis roberto guzmã¡n,ãlvaro guerrero,aida lã³pez,fernando lujã¡n,maxi iglesias,marianna burelli,maria del carmen farã­as,tamara mazarraza,marina de tavira,marco antonio treviã±o,alicia jaziz,harold torres,alessio valentini,diego cadavid,hernã¡n del riego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,sisters,TV-MA,1 Season,"InternationalTvShows, TVComedies, TVDramas",6.4,lucy durack,antonia prebble,maria angelico,dan spielman,charlie garber,lindsay farris,zindzi okenyo,catherine mcclements,roy billing,magda szubanski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,for here or to go?,TV-MA,105 min,"Comedies, Dramas, IndependentMovies",6.4,ali fazal,melanie chandra,rajit kapoor,amitosh nagpal,omi vaidya,samrat chakrabarti,keith stevenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,katt williams: kattpacalypse,TV-MA,61 min,StandUpComedy,6.4,katt williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,hotel transylvania,TV-Y7,1 Season,"KidsTV, TVComedies",6.4,bryn mcauley,evany rosen,gage munroe,joseph motiki,dan chameroy,david berni,john mcgrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,club de cuervos presents: the ballad of hugo sã¡nchez,TV-MA,1 Season,"InternationalTvShows, Spanish_LanguageTVShows, TVComedies",6.4,jesãºs zavala,ianis guerrero,mauro mauad,renato gutz,raãºl briones,markin lã³pez,guillermo dorantes,martha claudia moreno,aldo escalante,sergio mayer,paola moreno,pedro miguel arce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,catching feelings,TV-MA,117 min,"Comedies, InternationalMovies, RomanticMovies",6.4,kagiso lediga,pearl thusi,akin omotoso,andrew buckland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,pocoyo _ the space circus,TV-Y,25 min,Movies,6.4,stephen fry,carys doyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,pocoyo carnival,TV-Y,22 min,Movies,6.4,stephen fry,alex marty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,revolt,R,87 min,"Action_Adventure, Sci_Fi_Fantasy",6.4,lee pace,bã©rã©nice marlohe,jason flemyng,sibulele gcilitshana,wandile molebatsi,sekoati sk tsubane,leroy gopal,welile nzunza,patrick bakoba,tom fairfoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,paradox,TV-MA,74 min,"Dramas, IndependentMovies, Music_Musicals",6.4,neil young,lukas nelson,micah nelson,corey mccormick,anthony logerfo,tato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,everything sucks!,TV-14,1 Season,"TVComedies, TVDramas, TeenTVShows",6.4,jahi di'allo winston,peyton kennedy,patch darragh,claudine mboligikpelani nako,rio mangini,quinn liebling,sydney sweeney,elijah stevenson,zachary ray sherman,abi brittle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the ritual,TV-MA,95 min,"HorrorMovies, InternationalMovies, Thrillers",6.4,rafe spall,arsher ali,robert james-collier,sam troughton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,mau nieto: viviendo sobrioâ€¦ desde el bar,TV-MA,57 min,StandUpComedy,6.4,mau nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,arango y sanint: rã­ase el show,TV-MA,62 min,StandUpComedy,6.4,juliã¡n arango,antonio sanint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,part-time idol,TV-14,1 Season,"InternationalTvShows, KoreanTVShows, TVComedies",6.4,hee-jeong kim,seung-un hwang,soo-hyun lee,hyun-bin kwon,young-deuk kwon,kim min-kyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the day i met el chapo,TV-MA,1 Season,"CrimeTVShows, Docuseries, InternationalTvShows",6.4,kate del castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,bomb scared,TV-MA,89 min,"Comedies, IndependentMovies, InternationalMovies",6.4,javier cã¡mara,juliã¡n lã³pez,miren ibarguren,gorka otxoa,tina sã¡inz,ramã³n barea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,paul hollywood's big continental road trip,TV-14,1 Season,"BritishTVShows, Docuseries, InternationalTvShows",6.4,paul hollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,offspring,TV-MA,7 Seasons,"TVComedies, TVDramas",6.4,asher keddie,kat stewart,richard davies,linda cropper,jane harber,alicia gardiner,lachy hulme,eddie perfect,deborah mailman,john waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,icarus,TV-MA,121 min,"Documentaries, SportsMovies",6.4,bryan fogel,grigory rodchenkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
