type,title,rating,duration,listed_in,IMDb,c0,c1,c2,c3,c4,c5,c6
Movie,cars toon: moon mater,TV_G,4 min,"Animation, Comedy, Family",6.1,larry the cable guy ,keith ferguson,josh cooley,,,,
Movie,cars toon: rescue squad mater,TV_Y7,3 min,"Animation, Comedy, Family",6.1,larry the cable guy ,keith ferguson,bret parker,peter sohn,bob peterson,bob scott,
Movie,bambi ii,G,75 min,"Animation, Drama, Kids",6.1,patrick stewart,alexander gould,keith ferguson,brendon baerg,nicky jones,andrea bowen,
Movie,brother bear 2,G,78 min,"Action, Adventure, Animation, Family",6.1,patrick dempsey,mandy moore,jeremy suarez,rick moranis,dave thomas,andrea martin,
TV Show,disney stuck in the middle,TV_PG,3 Seasons,"Comedy, ComingOfAge, Family",6.1,jenna ortega,ronni hawk,isaak presley,ariana greenblatt,kayla maisonet,nicolas bechtel,
Movie,disney's the kid,PG,105 min,"Comedy, Drama, Family",6.1,bruce willis,spencer breslin,emily mortimer,lily tomlin,chi mcbride,jean smart,
Movie,halloweentown high,TV_G,83 min,"Action, Adventure, Comedy, Fantasy",6.1,kimberly brown,judith hoag,joey zimmerman,emily roeske,clifton davis,finn wittrock,
Movie,horse sense,TV_G,92 min,"ComingOfAge, Drama",6.1,joey lawrence,andy lawrence,susan walters,m.c. gainey,leann hunley,robin thomas,
Movie,leroy & stitch,G,76 min,"Action, Adventure, Animation, Comedy",6.1,daveigh chase,chris sanders,david stiers,kevin mcdonald,tia carrere,kevin michael richardson,
Movie,luck of the irish,TV_G,86 min,"Comedy, ComingOfAge, Fantasy",6.1,paul kiernan,timothy omundson,ryan merriman,glenndon chatman,henry gibson,marita geraghty,
Movie,now you see it,TV_G,89 min,"ComingOfAge, Fantasy",6.1,alyson michalka,johnny pacar,frank langella,brendan hill,chris olivero,gabriel sunday,
Movie,piglet's big movie,G,78 min,"Action, Adventure, Animation, Kids",6.1,john fiedler,jim cummings,andre stojka,kath soucie,nikita hopkins,peter cullen,
Movie,right on track,TV_G,88 min,"Buddy, Family, Sports",6.1,beverley mitchell,brie larson,marcus toji,jodi russell,jon lindstrom,ruby o'neil,
Movie,saludos amigos,TV_PG,42 min,"Animation, Comedy, Family",6.1,fred shields,,,,,,
Movie,smart house,TV_G,82 min,"Comedy, ComingOfAge, Drama",6.1,ryan merriman,kevin kilner,jessica steen,katie volding,katey sagal,emilio borelli,
