type,title,rating,duration,listed_in,IMDb,c0,c1,c2,c3,c4,c5,c6
Movie,the plausible impossible (disneyland: 1954_58),TV_PG,52 min,"Documentary, Family",7.3,walt disney,,,,,,
Movie,the vanishing prairie,G,71 min,"Animals_Nature, Documentary, Family",7.3,winston hibler,,,,,,
Movie,eddie the eagle,PG_13,107 min,"Biographical, Comedy, Drama",7.3,tom costello,jo hartley,keith allen,dickon tolson,jack costello,taron egerton,
Movie,the making of happier than ever: a love letter to los angeles,TV_PG,30 min,"ConcertFilm, Music",7.2,billie eilish,finneas,gustavo dudamel,patrick osborne,robert rodriguez,,
TV Show,the ghost and molly mcgee,TV_Y7,1 Season,"Animation, Buddy, ComingOfAge",7.2,ashly burch,dana snyder,,,,,
Movie,happier than ever: a love letter to los angeles,TV_14,66 min,"ConcertFilm, Music",7.2,billie eilish,finneas,,,,,
TV Show,disney raven's home,TV_G,4 Seasons,"Comedy, Family, Fantasy",7.2,raven_symonã© ,issac brown,navia robinson,jason maybaum,sky katz,anneliese van der pol,
TV Show,the falcon and the winter soldier,TV_14,1 Season,"Action, Adventure, Buddy, Sci_Fi",7.2,anthony mackie,sebastian stan,daniel brã¼hl,emily vancamp,wyatt russell,,
Movie,doc mcstuffins: the doc is in,TV_Y,24 min,"Animation, Kids, Medical",7.2,laya deleon hayes,loretta devine,lara jill miller,robbie rist,anthony anderson,dr myiesha taylor, md
Movie,the book of life,PG,101 min,"Action, Adventure, Animation, Comedy",7.2,diego luna,zoe saldana,channing tatum,ron perlman,christina applegate,ice cube,
TV Show,ancient china from above,TV_14,1 Season,"Docuseries, Historical",7.2,dr. allan maca,,,,,,
Movie,christopher robin,PG,109 min,"Drama, Family, Fantasy",7.2,ewan mcgregor,hayley atwell,bronte carmichael,mark gatiss,oliver davies,ronke adekoluejo,
Movie,trail mix_up,TV_G,9 min,"Action, Adventure, Animation, Comedy",7.2,charles fleischer,kathleen turner,april winchell,lou hirsch,corey burton,frank welker,
Movie,tummy trouble,TV_G,8 min,"Action, Adventure, Animation, Comedy",7.2,charles fleischer,april winchell,lou hirsch,corey burton,richard williams,kathleen turner,
TV Show,birth of europe,TV_G,1 Season,Docuseries,7.2,mark halliley,,,,,,
Movie,in beaver valley,TV_PG,32 min,"Animals_Nature, Documentary, Family",7.2,winston hibler,,,,,,
Movie,in the footsteps of elephant,G,88 min,"Animals_Nature, Documentary, Family",7.2,jeremy sisto,,,,,,
Movie,stargirl,PG,107 min,"ComingOfAge, Drama, Musical",7.2,grace vanderwaal,graham verchere,giancarlo esposito,karan brar,darby stanchfield,maximiliano hernandez,
Movie,forky asks a question: what is love?,TV_G,7 min,"Animation, Comedy, Family",7.2,tony hale,carl reiner,mel brooks,carol burnett,betty white,kristen schaal,
Movie,expedition amelia,TV_PG,94 min,"Action, Adventure, Documentary, Historical",7.2,allison janney,bob ballard,fredrik hiebert,,,,
Movie,glory road,PG,119 min,"Biographical, Drama, Sports",7.2,josh lucas,derek luke,jon voight,austin nichols,evan jones,schin kerr,
Movie,"20,000 leagues under the sea",G,127 min,"Action, Adventure, Family, Sci_Fi",7.2,kirk douglas,james mason,paul lukas,peter lorre,robert wilke,ted de corsia,
Movie,a bug's life,G,98 min,"Animation, Comedy, Family",7.2,dave foley,kevin spacey,julia louis_dreyfus,hayden panettiere,phyllis diller,richard kind,
TV Show,andi mack,TV_G,3 Seasons,"Comedy, ComingOfAge, Drama",7.2,peyton lee,joshua rush,sofia wylie,asher angel,lilan bowden,lauren tom,
Movie,cars,G,117 min,"Animation, Comedy, Family",7.2,owen wilson,paul newman,bonnie hunt,larry the cable guy ,cheech marin,tony shalhoub,
TV Show,disney's kim possible,TV_G,4 Seasons,"Action, Adventure, Animation, Comedy",7.2,christy romano,will friedle,nancy cartwright,tahj mowry,,,
Movie,disneynature born in china,G,81 min,"Animals_Nature, Documentary, Family",7.2,john krasinski,,,,,,
Movie,disneynature monkey kingdom,G,82 min,"Animals_Nature, Documentary, Family",7.2,tina fey,,,,,,
Movie,float,PG,10 min,"Animation, Family, Fantasy",7.2,eli fucile,bobby rubio,luna watson,mika kubo,,,
Movie,frankenweenie (short),PG,27 min,"Drama, Parody, Sci_Fi",7.2,shelley duvall,daniel stern,barret oliver,,,,
TV Show,girl meets world,TV_G,3 Seasons,"Comedy, ComingOfAge, Family",7.2,rowan blanchard,ben savage,sabrina carpenter,peyton meyer,august maturo,danielle fishel,
Movie,greyfriars bobby,TV_G,91 min,"Animals_Nature, Drama, Family",7.2,donald crisp,laurence naismith,alex mackenzie,duncan macrae,andrew cruickshank,gordon jackson,
Movie,jungle cat,TV_PG,70 min,"Animals_Nature, Documentary, Family",7.2,winston hibler,,,,,,
Movie,kim possible,TV_G,88 min,"Action, Adventure, Comedy, ComingOfAge",7.2,sadie stanley,sean giambrone,ciara wilson,taylor ortega,connie ray,issac brown,
Movie,lava,G,9 min,"Animation, Family, Musical",7.2,kuana kahele,napua greig,,,,,
Movie,lego star wars: the new yoda chronicles _ clash of the skywalkers,TV_Y7,24 min,"Action, Adventure, Animation, Comedy",7.2,tom kane,anthony daniels,matt sloan,trevor devall,kirby morrow,sam vincent,
Movie,lego star wars: the new yoda chronicles â€“ escape from the jedi temple,TV_Y7,24 min,"Action, Adventure, Animation, Comedy",7.2,tom kane,anthony daniels,matt sloan,trevor devall,sam vincent,kelly metzger,
Movie,lego star wars: the new yoda chronicles â€“ race for the holocrons,TV_Y7,24 min,"Action, Adventure, Animation, Comedy",7.2,tom kane,anthony daniels,matt sloan,trevor devall,brian drummond,michael donovan,
Movie,magician mickey,TV_PG,8 min,"Animation, Comedy, Family",7.2,pinto colvig,walt disney,clarence nash,,,,
Movie,marvel studios' iron man 3,PG_13,132 min,"Action, Adventure, Sci_Fi, Superhero",7.2,robert downey jr.,gwyneth paltrow,don cheadle,guy pearce,rebecca hall,stephanie szostak,
Movie,roving mars,G,41 min,"Documentary, Family",7.2,paul newman,steve squyres,rob manning,dr. elachi,wayne lee,,
Movie,secretariat,PG,124 min,"Animals_Nature, Biographical, Drama",7.2,diane lane,john malkovich,dylan walsh,james cromwell,kevin connolly,nelsan ellis,
Movie,sleeping beauty,G,77 min,"Animation, Family, Fantasy",7.2,mary costa,eleanor audley,barbara luddy,taylor holmes,bill shirley,verna felton,
TV Show,spider_man and his amazing friends,TV_Y7,1 Season,"Action, Adventure, Animation, Kids",7.2,hans conried,jerry dexter,george dicenzo,alan dinehart,walker edminston,michael evans,
Movie,the african lion,G,72 min,"Animals_Nature, Documentary, Family",7.2,winston hibler,,,,,,
Movie,the art of skiing,TV_G,8 min,"Animation, Comedy, Family",7.2,john mcleish,,,,,,
Movie,the color of friendship,TV_G,83 min,"Biographical, Drama",7.2,carl lumbly,penny johnson,shadia simmons,anthony burnett,travis davis,lindsey haun,
Movie,the fox and the hound,G,85 min,"Action, Adventure, Animation, Buddy",7.2,mickey rooney,kurt russell,pearl bailey,jack albertson,sandy duncan,jeanette nolan,
Movie,the parent trap (1961),G,129 min,"Comedy, Family, Romance",7.2,hayley mills,maureen o'hara,brian keith,charlie ruggles,una merkel,leo carroll,
Movie,the prince and the pauper,G,94 min,"Action, Adventure, ComingOfAge, Family",7.2,guy williams,laurence naismith,donald houston,sean scully,niall macginnis,geoffrey keen,
Movie,toy story toons: hawaiian vacation,G,6 min,"Animation, Comedy, Family",7.2,tom hanks,tim allen,joan cusack,kristen schaal,wallace shawn,axel geddes,
Movie,the great mouse detective,G,75 min,"Animation, Family, Mystery",7.2,vincent price,barrie ingham,val bettin,susanne pollatschek,candy candido,diana chesney,
TV Show,imagination movers,TV_Y,3 Seasons,"Kids, Music",7.2,rich collins,dave poche,scott durbin,scott smith,wendy calio,kevin carlson,
Movie,becoming cousteau,PG_13,94 min,"Biographical, Documentary",7.1,jacques yves cousteau,vincent cassel,,,,,
Movie,enchanted,PG,110 min,"Comedy, Family, Fantasy",7.1,amy adams,patrick dempsey,james marsden,timothy spall,idina menzel,susan sarandon,
Movie,twenty something,PG,11 min,"Animation, Family",7.1,kaylin price,ariana brown,aliyah taylor,janelle lasalle,napoleon highbrou,,
TV Show,pepper ann,TV_Y,3 Seasons,"Animation, Comedy, ComingOfAge",7.1,kathleen wilhoite,clea lewis,danny cooksey,pamela segall,april winchell,don adams,
Movie,mrs. doubtfire,PG_13,126 min,"Comedy, Drama",7.1,robin williams,sally field,pierce brosnan,harvey fierstein,polly holliday,lisa jakub,
Movie,what the shark?,TV_PG,44 min,"Animals_Nature, Documentary",7.1,robert davi,,,,,,
Movie,we bought a zoo,PG,125 min,"Animals_Nature, Drama, Family",7.1,matt damon,scarlett johansson,thomas haden church,patrick fugit,colin ford,elle fanning,
TV Show,mickey mouse mixed_up adventures,TV_Y,1 Season,"Animation, Kids, Sports",7.1,bret iwan,russi taylor,bill farmer,daniel ross,tress macneile,,
Movie,american eid,G,21 min,Drama,7.1,shanessa khawaja,jenna qureshi,cash herrera,fazeelat aslam,maya bednarek,iris starlett perry,
Movie,tinker bell and the legend of the neverbeast,G,79 min,"Action, Adventure, Animation, Fantasy",7.1,ginnifer goodwin,mae whitman,rosario dawson,lucy liu,raven_symonã© ,megan hilty,
Movie,wild hearts can't be broken,G,89 min,"Biographical, Drama",7.1,gabrielle anwar,michael schoeffling,kathleen york,dylan kussman,cliff robertson,frank renzulli,
TV Show,made in a day,TV_PG,1 Season,Reality,7.1,craig whitney,,,,,,
Movie,third man on the mountain,G,107 min,"Action, Adventure, ComingOfAge, Family",7.1,michael rennie,james macarthur,janet munro,james donald,herbert lom,laurence naismith,
TV Show,disney big hero 6 the series,TV_G,3 Seasons,"Action, Adventure, Animation, Kids",7.1,scott adsit,ryan potter,brooks wheelan,jamie chung,khary payton,genesis rodriguez,
Movie,toy story: that time forgot,TV_G,22 min,"Action, Adventure, Animation, Comedy",7.1,tom hanks,tim allen,kristen schaal,kevin mckidd,emily hahn,wallace shawn,
Movie,anastasia,G,95 min,"Animation, Family, Fantasy",7.1,meg ryan,john cusack,kelsey grammer,christopher lloyd,hank azaria,bernadette peters,
Movie,wild portugal,TV_14,45 min,"Animals_Nature, Documentary, Family",7.1,bart thomasson,,,,,,
Movie,phineas and ferb the movie: candace against the universe,TV_G,86 min,"Action, Adventure, Animation, Comedy",7.1,ashley tisdale,vincent martella,ali wong,dan povenmire,alyson stoner,maulik pancholy,
Movie,beauty and the beast,PG,138 min,"Family, Fantasy, Musical",7.1,emma watson,dan stevens,luke evans,kevin kline,josh gad,ewan mcgregor,
Movie,india's wild leopards,TV_14,45 min,"Animals_Nature, Documentary",7.1,sandesh kadur,priya singh,,,,,
Movie,nature's half acre,TV_PG,33 min,"Animals_Nature, Documentary, Family",7.1,winston hibler,,,,,,
Movie,disneynature penguins,G,77 min,"Animals_Nature, Documentary, Family",7.1,ed helms,,,,,,
Movie,elephant,G,89 min,"Animals_Nature, Documentary, Family",7.1,meghan, the duchess of sussex,,,,,
Movie,around the world in 80 days,PG,121 min,"Action, Adventure, Comedy, Family",7.1,jackie chan,steve coogan,cã©cile de france,jim broadbent,ewan bremner,ian mcneice,
TV Show,high school musical: the musical: the series: the sing_along,TV_PG,1 Season,"Comedy, ComingOfAge, Drama",7.1,olivia rodrigo,joshua bassett,matt cornett,sofia wylie,larry saperstein,,
Movie,high school musical: the musical: the series: the special,TV_G,23 min,"ComingOfAge, Documentary, Drama",7.1,joshua bassett,olivia rodrigo,sofia wylie,matt cornett,dara renee,,
Movie,auntie edna,TV_G,7 min,"Animation, Comedy, Family",7.1,brad bird,eli fucile,maeve andrews,nick bird,noelle zuber,craig nelson,
Movie,brave,PG,94 min,"Animation, ComingOfAge, Family",7.1,kelly macdonald,billy connolly,emma thompson,julie walters,robbie coltrane,kevin mckidd,
Movie,darby o'gill and the little people,G,91 min,"Family, Fantasy, Romance",7.1,albert sharpe,janet munro,sean connery,jimmy o'dea,kieron moore,estelle winwood,
Movie,disney's fairy tale weddings: holiday magic,TV_PG,42 min,"Family, Lifestyle, Reality",7.1,stephen boss,allison holker,,,,,
Movie,disneynature chimpanzee,G,79 min,"Animals_Nature, Documentary, Family",7.1,tim allen,,,,,,
Movie,fantasia 2000,G,76 min,"Animation, Family, Fantasy",7.1,steve martin,itzhak perlman,quincy jones,bette midler,james jones,penn teller,
TV Show,good luck charlie,TV_G,4 Seasons,"Comedy, ComingOfAge, Family",7.1,bridgit mendler,leigh_allyn baker,bradley perry,mia talerico,eric kramer,jason dolley,
TV Show,high school musical: the musical: the series,TV_PG,2 Seasons,"Comedy, ComingOfAge, Drama",7.1,olivia rodrigo,joshua bassett,matt cornett,sofia wylie,larry saperstein,,
Movie,kim possible movie: so the drama,TV_G,70 min,"Action, Adventure, Animation, ComingOfAge",7.1,christy romano,will friedle,nancy cartwright,tahj mowry,raven ,gary cole,
Movie,lego star wars: the new yoda chronicles _ raid on coruscant,TV_Y7,24 min,"Action, Adventure, Animation, Comedy",7.1,tom kane,anthony daniels,matt sloan,trevor devall,kirby morrow,sam vincent,
TV Show,marvel ultimate spider_man,TV_Y7,4 Seasons,"Action, Adventure, Animation, Fantasy",7.1,drake bell,chi mcbride,steven weber,j.k. simmons,tom kenny,clark gregg,
Movie,pirates of the caribbean: at world's end,PG_13,169 min,"Action, Adventure, Fantasy",7.1,johnny depp,orlando bloom,keira knightley,stellan skarsgã¥rd,bill nighy,chow yun_fat,
Movie,ruby bridges,TV_PG,90 min,"Biographical, Drama, Historical",7.1,penelope miller,kevin pollak,michael beach,jean kelly,peter james,patrika darbo,
Movie,swiss family robinson,PG,94 min,"Action, Adventure, Family, Survival",7.1,thomas mitchell,edna best,freddie bartholomew,terry kilburn,tim holt,baby quillan,
Movie,teacher's pet,PG,75 min,"Animation, Comedy, Family",7.1,nathan lane,kelsey grammer,shaun fleming,debra rupp,david stiers,jerry stiller,
Movie,the aristocats,G,81 min,"Action, Adventure, Animation, Comedy",7.1,phil harris,eva gabor,sterling holloway,scatman crothers,paul winchell,lord tim hudson,
Movie,the great muppet caper,G,98 min,"Comedy, Crime, Family",7.1,jim henson,frank oz,dave goelz,jerry nelson,richard hunt,charles grodin,
Movie,the muppets,PG,108 min,"Comedy, Family, Kids",7.1,jason segel,amy adams,chris cooper,rashida jones,steve whitmire,eric jacobson,
Movie,the princess and the frog,G,99 min,"Animation, Comedy, Family",7.1,anika rose,bruno campos,keith david,michael_leon wooley,jennifer cody,jim cummings,
Movie,titanic: 20 years later with james cameron,TV_PG,47 min,"Documentary, Historical",7.1,james cameron,bob ballard,,,,,
Movie,treasure planet,PG,98 min,"Action, Adventure, Animation, Family",7.1,joseph gordon_levitt,brian murray,emma thompson,david pierce,martin short,dane davis,
Movie,tree climbing lions,TV_PG,45 min,"Animals_Nature, Documentary, Family",7.1,alexander braczkowski,,,,,,
Movie,winnie the pooh,G,68 min,"Animation, Comedy, Family",7.1,john cleese,jim cummings,bud luckey,craig ferguson,jack boulter,travis oates,
Movie,the sword in the stone,G,80 min,"Action, Adventure, Animation, Comedy",7.1,sebastian cabot,karl swenson,rickie sorensen,junius matthews,ginny tyler,martha wentworth,
Movie,maleficent,PG,99 min,"Action, Adventure, Family, Fantasy",7.0,angelina jolie,sharlto copley,elle fanning,sam riley,imelda staunton,juno temple,
TV Show,breaking bobby bones,TV_14,1 Season,"Action, Adventure, Docuseries, Reality",7.0,bobby bones,,,,,,
TV Show,monsters at work,TV_G,1 Season,"Animation, Comedy, Family",7.0,billy crystal,john goodman,ben feldman,mindy kaling,henry winkler,lucas neff,
TV Show,puppy dog pals,TV_G,4 Seasons,"Animation, Kids",7.0,harland williams,isaac brown,jessica dicicco,sam lavagnino,leslie baker,tara strong,
TV Show,kingdom of the polar bears,TV_PG,1 Season,"Animals_Nature, Docuseries",7.0,dennis compayre,,,,,,
Movie,let's be tigers,PG,15 min,Drama,7.0,otmara marrero,dash mccloud,greg worswick,mike millan,,,
Movie,oklahoma!,TV_PG,148 min,"Musical, Romance, Western",7.0,gordon macrae,gloria grahame,gene nelson,,,,
Movie,ralph breaks the internet,PG,116 min,"Action, Adventure, Animation, Comedy",7.0,john c. reilly,sarah silverman,gal gadot,jane lynch,jack mcbrayer,alan tudyk,
TV Show,bia,TV_G,1 Season,"ComingOfAge, Drama, Music",7.0,isabela souza,giulia guerrini,julio peã±a,guido messina,andrea de alba,agustina palma,
Movie,the giant robber crab,TV_PG,44 min,"Animals_Nature, Documentary",7.0,colin solman,,,,,,
TV Show,wild central america,TV_PG,1 Season,"Action, Adventure, Animals_Nature, Docuseries",7.0,nigel marven,,,,,,
Movie,ever after: a cinderella story,PG_13,122 min,"Drama, Romance",7.0,drew barrymore,anjelica huston,dougray scott,patrick godfrey,megan dodds,melanie lynskey,
TV Show,soy luna,TV_G,3 Seasons,"Comedy, ComingOfAge, Drama",7.0,karol sevilla,ruggero pasquarelli,valentina zenere,lucila gandolfo,michael ronda,carolina kopelioff,
Movie,marvel studios' ant_man and the wasp,PG_13,120 min,"Action, Adventure, Comedy, Sci_Fi",7.0,paul rudd,evangeline lilly,michael peã±a,walton goggins,hannah john_kamen,david dastmalchian,
TV Show,nature boom time,TV_G,1 Season,"Animals_Nature, Docuseries, Kids",7.0,charlie engelman,kirby engelman,patrick rahill,,,,
TV Show,sam's zookeeper challenge,TV_G,1 Season,"Animals_Nature, Docuseries, Family",7.0,sam peltz,,,,,,
TV Show,scuba sam's world,TV_G,1 Season,"Animals_Nature, Docuseries, Kids",7.0,sam peltz,,,,,,
Movie,the peanuts movie,G,89 min,"Animation, Comedy, Family",7.0,noah schnapp,alex garfin,hadley miller,mariel sheets,venus schultheis,noah johnston,
TV Show,rogue trip,TV_PG,1 Season,"Buddy, Docuseries",7.0,bob woodruff,mack woodruff,,,,,
TV Show,wild congo,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",7.0,corey johnson,,,,,,
Movie,lost city of machu picchu,TV_14,44 min,"Documentary, Family",7.0,craig sechler,,,,,,
TV Show,wild hawaii,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",7.0,jk simmons,,,,,,
Movie,"hello, dolly!",G,147 min,"Comedy, Musical, Romance",7.0,barbara streisand,walter matthau,michael crawford,marianne mcandrew,danny lockin,e.j. peaker,
Movie,the olympic elk,TV_G,27 min,"Animals_Nature, Documentary, Family",7.0,winston hibler,,,,,,
Movie,a celebration of the music from coco,TV_PG,48 min,"ConcertFilm, Music, Musical",7.0,benjamin bratt,eva longoria,carlos rivera,natalia jimã©nez,alanna ubach,jaime camil,
TV Show,paradise islands,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",7.0,michael izqueirdo,,,,,,
Movie,diving with dolphins,G,79 min,"Animals_Nature, Documentary, Family",7.0,celine cousteau,,,,,,
Movie,how to play football,TV_G,9 min,"Animation, Family, Parody",7.0,pinto colvig,,,,,,
Movie,forky asks a question: what is cheese?,TV_G,6 min,"Animation, Comedy, Family",7.0,tony hale,jeff garlin,bob peterson,,,,
Movie,cool runnings,PG,99 min,"Biographical, Comedy, Family",7.0,leon ,doug doug,rawle lewis,malik yoba,raymond barry,larry gilman,
Movie,holes,PG,119 min,"ComingOfAge, Drama, Family",7.0,sigourney weaver,jon voight,patricia arquette,tim nelson,dulã© hill,shia labeouf,
Movie,marvel 75 years: from pulp to pop!,TV_PG,42 min,"Documentary, Family",7.0,laura shields,stan lee,alan fine,nicole perlman,jimmy kimmel,gerry conway,
Movie,dug's special mission,TV_PG,6 min,"Animation, Comedy, Family",7.0,bob peterson,delroy lindo,jerome ranft,,,,
Movie,easter island unsolved,TV_14,45 min,"Documentary, Historical",7.0,peter demeo,,,,,,
Movie,marvel studios' thor,PG_13,116 min,"Action, Adventure, Fantasy, Superhero",7.0,chris hemsworth,natalie portman,tom hiddleston,anthony hopkins,stellan skarsgã¥rd,kat dennings,
TV Show,marvel's avengers assemble,TV_Y7,5 Seasons,"Action, Adventure, Animation, Kids",7.0,adrian pasdar,fred tatasciore,roger smith,travis willingham,troy baker,bumper robinson,
Movie,mickey's once upon a christmas,TV_G,67 min,"Animation, Anthology, Comedy",7.0,kelsey grammer,wayne allwine,russi taylor,tony anselmo,diane michelle,tress macneille,
Movie,mike's new car,TV_G,5 min,"Animation, Buddy, Comedy",7.0,billy crystal,john goodman,,,,,
Movie,party central,PG,7 min,"Animation, Comedy, Family",7.0,john goodman,billy crystal,dave foley,sean hayes,joel murray,charlie day,
TV Show,phil of the future,TV_G,2 Seasons,"Comedy, ComingOfAge, Kids",7.0,ricky ullman,amy bruckner,craig anton,lise simms,alyson michalka,,
Movie,pooh's grand adventure: the search for christopher robin,TV_G,78 min,"Action, Adventure, Animation, Kids",7.0,jim cummings,john fiedler,ken sansom,andre stojka,peter cullen,brady bluhm,
Movie,sea of hope: america's underwater treasures,TV_PG,47 min,"Action, Adventure, Animals_Nature, Documentary",7.0,max kennedy,,,,,,
Movie,secret of the wings,G,79 min,"Animation, Fantasy, Kids",7.0,mae whitman,lucy hale,timothy dalton,jeff bennett,lucy liu,raven_symonã©,
Movie,the hunchback of notre dame,G,96 min,"Action, Adventure, Animation, Family",7.0,tom hulce,demi moore,tony jay,kevin kline,paul kandel,jason alexander,
Movie,the incredible journey,G,80 min,"Action, Adventure, Animals_Nature, Family",7.0,ã‰mile genest,john drainie,tommy tweed,sandra scott,syme jago,marion finlayson,
Movie,the journey of natty gann,PG,101 min,"Action, Adventure, ComingOfAge, Drama",7.0,meredith salenger,john cusack,ray wise,lainie kazan,scatman crothers,barry miller,
Movie,the wise little hen,TV_G,8 min,"Animation, Family, Kids",7.0,clarence nash,florence gill,,,,,
TV Show,timon & pumbaa,TV_Y,3 Seasons,"Animation, Buddy, Comedy",7.0,quinton flynn,ernie sabella,jim cummings,nathan lane,,,
Movie,toy story toons: small fry,G,10 min,"Animation, Family, Kids",7.0,tom hanks,tim allen,john ratzenberger,wallace shawn,joan cusack,estelle harris,
Movie,your friend the rat,TV_G,13 min,"Animation, Comedy, Family",7.0,patton oswalt,peter sohn,lou romano,tony russell,sigmund vik,jim capobianco,
Movie,bedknobs and broomsticks,G,118 min,"Comedy, Family, Fantasy",7.0,angela lansbury,david tomlinson,roddy mcdowall,sam jaffe,john ericson,bruce forsyth,
Movie,the ballad of nessie,G,8 min,"Animation, Family, Fantasy",6.9,billy connolly,,,,,,
Movie,built for mars: the perseverance rover,TV_PG,88 min,Documentary,6.9,steven french,,,,,,
Movie,rogue shark?,TV_14,44 min,"Animals_Nature, Documentary",6.9,mocean melvin,,,,,,
Movie,adventures in babysitting,TV_PG,102 min,"Action, Adventure, Comedy, ComingOfAge",6.9,elisabeth shue,maia brewton,keith coogan,anthony rapp,calvin levels,vincent phillip d'onofrio,
Movie,wolfgang,TV_PG,80 min,"Biographical, Documentary",6.9,wolfgang puck,,,,,,
Movie,rio,G,99 min,"Action, Adventure, Animation, Comedy",6.9,anne hathaway,jesse eisenberg,will.i.am ,jamie foxx,george lopez,tracy morgan,
Movie,mark twain and me,TV_PG,93 min,"Biographical, ComingOfAge, Drama",6.9,jason robards,talia shire,r.h. thomson,fiona reid,chris wiggins,amy stewart,
Movie,700 sharks,TV_PG,45 min,"Animals_Nature, Documentary",6.9,paul bandey,,,,,,
Movie,big sharks rule,TV_14,45 min,"Animals_Nature, Documentary",6.9,lance lewman,,,,,,
TV Show,once upon a time in wonderland,TV_PG,1 Season,"Action, Adventure, Fantasy, SoapOpera",6.9,sophie lowe,michael socha,peter gadiot,emma rigby,naveen andrews,john lithgow,
Movie,mars: one day on the red planet,TV_PG,88 min,Documentary,6.9,nigel barber,,,,,,
Movie,the hidden kingdoms of china,TV_PG,88 min,"Animals_Nature, Documentary, Family",6.9,michelle yeoh,,,,,,
Movie,lost temple of the inca,TV_PG,44 min,Documentary,6.9,dan nachtrab,,,,,,
Movie,x_men: apocalypse,PG_13,144 min,"Action, Adventure, Family, Sci_Fi",6.9,james mcavoy,michael fassbender,jennifer lawrence,oscar isaac,nicholas hoult,rose byrne,
Movie,solo: a star wars story,PG_13,135 min,"Action, Adventure, Crime, Sci_Fi",6.9,alden ehrenreich,woody harrelson,emilia clarke,donald glover,thandie newton,phoebe waller_bridge,
Movie,homeward bound: the incredible journey,G,85 min,"Action, Adventure, Animals_Nature, Family",6.9,robert hays,kim greist,jean smart,veronica lauren,kevin chevalia,benj thall,
Movie,national treasure,PG,132 min,"Action, Adventure, Mystery, Thriller",6.9,nicolas cage,jon voight,harvey keitel,diane kruger,sean bean,justin bartha,
Movie,elmer elephant,TV_G,8 min,"Animation, Family",6.9,jeanie roberts,pinto colvig,hal rees,leone ledoux,carlisle tupper,gay seabrook,
Movie,frankenweenie,PG,88 min,"Animation, Comedy, Drama",6.9,catherine o'hara,martin short,martin landau,charlie tahan,atticus shaffer,winona ryder,
TV Show,marvel's runaways,TV_14,3 Seasons,"ComingOfAge, Drama, Sci_Fi",6.9,rhenzy feliz,lyrica okano,virginia gardner,ariela barer,gregg sulkin,allegra acosta,
Movie,aladdin (2019),PG,135 min,"Action, Adventure, Family, Fantasy",6.9,will smith,mena massoud,naomi scott,marwan kenzari,navid negahban,nasim pedrad,
Movie,drain the ocean: wwii,TV_PG,44 min,"Documentary, Historical",6.9,russell boulter,,,,,,
Movie,star wars: the last jedi (episode viii),PG_13,152 min,"Action, Adventure, Sci_Fi",6.9,mark hamill,carrie fisher,adam driver,daisy ridley,john boyega,oscar isaac,
Movie,forky asks a question: what is a friend?,TV_G,6 min,"Animation, Comedy, Family",6.9,tony hale,john ratzenberger,bob peterson,,,,
Movie,a goofy movie,G,81 min,"Action, Adventure, Animation, Comedy",6.9,bill farmer,jason marsden,jim cummings,kellie martin,rob paulsen,wallace shawn,
Movie,atlantis: the lost empire,PG,98 min,"Action, Adventure, Animation, Family",6.9,michael fox,james garner,cree summer,don novello,phil morris,claudia christian,
Movie,bolt,PG,98 min,"Action, Adventure, Animation, Comedy",6.9,john travolta,miley cyrus,susie essman,mark walton,malcolm mcdowell,james lipton,
Movie,boundin',G,6 min,"Animation, Family, Kids",6.9,bud luckey,,,,,,
Movie,brink!,TV_G,90 min,"ComingOfAge, Drama, Sports",6.9,erik von detten,sam horrigan,christina vidal,robin riker,geoffrey blake,patrick levis,
Movie,"davy crockett, king of the wild frontier",PG,93 min,"Action, Adventure, Family, Historical",6.9,fess parker,buddy ebsen,basil ruysdael,hans conried,pat hogan,ken tobey,
Movie,flight of the navigator,PG,90 min,"Action, Adventure, Sci_Fi",6.9,joey cramer,veronica cartwright,cliff de young,sarah parker,matt adler,howard hesseman,
Movie,hawaiian holiday,TV_G,9 min,"Animation, Comedy, Family",6.9,walt disney,marcellite garner,clarence nash,pinto colvig,,,
Movie,hocus pocus,PG,96 min,"Comedy, Family, Fantasy",6.9,bette midler,sarah parker,kathy najimy,omri katz,thora birch,vinessa shaw,
Movie,lemonade mouth,TV_G,110 min,"ComingOfAge, Drama, Music",6.9,bridgit mendler,adam hicks,hayley kiyoko,naomi scott,blake michael,nick roux,
Movie,marvel studios' captain america: the first avenger,PG_13,126 min,"Action, Adventure, Sci_Fi, Superhero",6.9,chris evans,tommy jones,hugo weaving,hayley atwell,sebastian stan,dominic cooper,
Movie,marvel studios' iron man 2,PG_13,125 min,"Action, Adventure, Sci_Fi, Superhero",6.9,robert downey jr.,gwyneth paltrow,don cheadle,scarlett johansson,sam rockwell,clark gregg,
Movie,muppet treasure island,G,101 min,"Action, Adventure, Comedy, Family",6.9,tim curry,kevin bishop,billy connolly,jennifer saunders,dave goelz,steve whitmire,
Movie,newsies,PG,122 min,"ComingOfAge, Drama, Family",6.9,christian bale,david moscow,bill pullman,gabriel damon,luke edwards,max casella,
Movie,society dog show,TV_G,9 min,"Animation, Comedy, Family",6.9,pinto colvig,walt disney,,,,,
